ts_code,total_assets,total_liab,goodwill
301236.SZ,15387564181.33,5600095575.68,46793102.32
301236.SZ,15408340581.73,5607089583.49,46793102.32
301236.SZ,14898050073.91,5437320943.74,46793102.32
301236.SZ,10523118161.22,5497322366.75,46793102.32
301236.SZ,10523118161.22,5497322366.75,46793102.32
301236.SZ,10523118161.22,5497322366.75,46793102.32
301236.SZ,9289493695.67,4766607132.95,46793102.32
301236.SZ,9041261872.44,4966240480.07,46793102.32
301236.SZ,9041261872.44,4966240480.07,46793102.32
301236.SZ,8075187782.4,4796660018.47,123926776.39
301236.SZ,8075187782.4,4796660018.47,123926776.39
301236.SZ,7487068581.94,4903151563.73,122811605.48
