ts_code,total_assets,total_liab,goodwill
605060.SH,2023734443.91,179734666.96,
605060.SH,2023734443.91,179734666.96,
605060.SH,1957095618.11,161259363.62,
605060.SH,1994600462.9,162840521.38,
605060.SH,1994600462.9,162840521.38,
605060.SH,1088575996.54,152811288.01,
605060.SH,1088575996.54,152811288.01,
605060.SH,987937867.61,131910434.79,
605060.SH,987937867.61,131910434.79,
605060.SH,909207436.97,131318967.03,
605060.SH,909207436.97,131318967.03,
605060.SH,800593017.66,196090436.09,
605060.SH,676971933.77,189531820.03,
