ts_code,total_assets,total_liab,goodwill
920407.BJ,299761065.98,53774195.82,
920407.BJ,285002773.01,46164461.89,
920407.BJ,285002773.01,46164461.89,
920407.BJ,297441697.46,47999200.05,
920407.BJ,297441697.46,47999200.05,
920407.BJ,248304909.29,60947210.31,
920407.BJ,248304909.29,60947210.31,
920407.BJ,237121307.68,60572292.41,
920407.BJ,233095857.67,62128237.86,
920407.BJ,233095857.67,62128237.86,
920407.BJ,202786887.85,50450154.72,
920407.BJ,202786887.85,50450154.72,
920407.BJ,153544312.02,45156474.05,
920407.BJ,153544312.02,45156474.05,
