ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
920271.BJ,20260518,12.05,1.4457,2.487,1.45,15.7517,18.0582,2.5235,4.1466,4.4474,1.5089,1.6598,13082.3,5789.0431,3365.1251,157641.715,69757.9694
920061.BJ,20260518,25.63,4.2647,8.0338,0.62,409.0487,391.555,6.4701,18.8162,18.7945,0.554,0.554,7079.0,3936.44,2089.62,181434.77,100890.9572
920346.BJ,20260518,19.8,1.3102,2.0791,0.84,32.9469,34.0097,3.2841,5.5403,5.5928,1.7177,1.7177,8065.3103,4460.3718,2810.9693,159693.1439,88315.3616
920651.BJ,20260518,25.75,1.0218,2.7215,0.49,20.449,20.5599,2.8482,4.4603,4.4592,2.7184,2.7184,6100.0,4146.7373,1556.9363,157075.0,106778.4855
920419.BJ,20260518,12.22,1.0225,1.8729,1.46,20.8801,23.2443,2.0176,1.4697,1.41,0.8183,0.8183,10330.64,9669.1274,5278.7709,126240.4208,118156.7368
920496.BJ,20260518,8.61,1.7073,2.4581,0.74,129.6733,144.4638,2.5319,2.4295,2.4351,1.7422,1.7422,16557.5,14499.8432,10070.8995,142560.075,124843.65
301531.SZ,20260518,111.0,54.2959,54.2959,0.86,196.3457,182.6765,16.8424,21.1275,19.641,,,21973.334,4688.3653,4688.3653,2439040.074,520408.5483
920178.BJ,20260518,226.18,57.8197,62.2683,,114.1271,114.1271,15.9378,24.9532,24.9532,,,6593.8073,1460.9551,1356.5813,1491387.3351,330438.8245
920166.BJ,20260518,27.15,2.9368,3.2233,0.55,23.8212,23.7474,3.2791,5.9204,5.7558,,,7529.4118,2376.4707,2165.2207,204423.5304,64521.1795
000401.SZ,20260518,4.06,0.4272,1.1831,0.84,49.3469,110.8385,0.4112,0.4405,0.4571,2.4631,2.4631,265821.7235,263135.4635,95019.842,1079236.1974,1068329.9818
920181.BJ,20260518,132.8,25.5045,25.5045,0.81,65.135,62.6704,7.4747,9.5613,9.3974,,,4320.0,1002.0,1002.0,573696.0,133065.6
001393.SZ,20260518,95.26,50.6367,50.6367,,78.8625,80.3579,6.5722,7.5975,7.4449,,,24933.3334,4804.0181,4804.0181,2375149.3397,457630.7642
301638.SZ,20260518,29.72,12.5721,12.5721,0.71,150.0464,135.6274,8.4215,13.0934,12.3321,,,317965.023,25023.4005,25023.4005,9449920.4836,743695.4629
301632.SZ,20260518,20.05,2.7792,2.7792,1.03,72.212,62.7316,3.0286,6.7092,6.8821,,,41856.0,7326.2,7326.2,839212.8,146890.31
603352.SH,20260518,34.86,3.0411,3.0411,0.8,34.7387,38.5312,2.6729,1.9496,2.0036,,,22666.6667,4442.2372,4442.2372,790160.0012,154856.3888
000631.SZ,20260518,3.25,0.9537,3.6384,0.5,126.744,149.5118,1.3567,15.1641,13.8886,,,230000.0085,230000.0085,60285.6539,747500.0276,747500.0276
920096.BJ,20260518,112.01,94.9896,96.7818,,108.5021,108.5021,11.714,19.2774,19.2774,,,6900.0,1620.0,1590.0,772869.0,181456.2
920119.BJ,20260518,96.7,5.1352,5.1352,0.98,25.7036,25.0199,3.5533,5.0952,4.8435,,,7212.3267,1897.6767,1897.6767,697431.9919,183505.3369
301599.SZ,20260518,70.56,43.7266,43.7266,1.11,111.202,120.6786,14.4601,12.8343,13.3362,,,43160.0,5470.0536,5470.0536,3045369.6,385966.982
920177.BJ,20260518,40.77,31.2216,31.2216,1.12,26.9307,26.6188,3.219,7.1727,6.743,,,5232.0,1177.2,1177.2,213308.64,47994.444
920125.BJ,20260518,153.75,21.5308,21.5308,0.77,123.7911,118.8595,12.6493,12.998,12.7369,,,5616.0,1648.1539,1648.1539,863460.0,253403.6621
688808.SH,20260518,1344.99,19.5006,19.5006,1.14,795.188,505.3897,47.0773,115.643,93.258,,,10266.6667,1929.6144,1929.6144,13808564.0448,2595312.0719
