ts_code,revenue,oper_cost
301275.SZ,2809057162.85,1885362783.87
301275.SZ,2809057162.85,1885362783.87
301275.SZ,1974346975.28,1350683841.47
301275.SZ,1974346975.28,1350683841.47
301275.SZ,981316499.77,662618783.52
301275.SZ,981316499.77,662618783.52
301275.SZ,4486291714.31,2925052526.3
301275.SZ,4486291714.31,2925052526.3
301275.SZ,4486291714.31,2925052526.3
301275.SZ,2116837664.65,1328322715.11
301275.SZ,3775063341.71,2544799311.36
301275.SZ,2861888992.5,2304958510.79
301275.SZ,1612857340.91,1255035438.93
