ts_code,revenue,oper_cost
605259.SH,1149971760.41,926229660.45
605259.SH,1149971760.41,926229660.45
605259.SH,784581739.55,637358818.29
605259.SH,369558905.39,303635604.0
605259.SH,369558905.39,303635604.0
605259.SH,1225133410.53,979922169.85
605259.SH,1225133410.53,979922169.85
605259.SH,856013474.29,673715180.52
605259.SH,856013474.29,673715180.52
605259.SH,547052327.59,429265780.46
605259.SH,547052327.59,429265780.46
605259.SH,216796211.04,172791690.2
605259.SH,1049726884.69,843189611.61
605259.SH,1049726884.69,843189611.61
605259.SH,774370182.18,639488320.04
605259.SH,774370182.18,639488320.04
605259.SH,733352178.02,587038577.11
605259.SH,733352178.02,587038577.11
