ts_code,revenue,oper_cost
920809.BJ,4274056302.26,4365523408.79
920809.BJ,4274056302.26,4365523408.79
920809.BJ,3158278470.38,3221891269.81
920809.BJ,3158278470.38,3221891269.81
920809.BJ,1809873648.02,1873486447.45
920809.BJ,1939672343.58,1812657534.17
920809.BJ,6557673149.86,5305190120.98
920809.BJ,6557673149.86,5305190120.98
920809.BJ,6557673149.86,5305190120.98
920809.BJ,1577128058.3,1190151664.76
920809.BJ,1577128058.3,1190151664.76
920809.BJ,92605286.8,111596480.79
920809.BJ,153600087.65,172559463.82
