ts_code,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025
000001.SZ,127190000000.0,,138265000000.0,,127634000000.0,,111582000000.0,,100668000000.0,
000002.SZ,271485774926.48,211492085577.93,337673241644.89,271390325144.22,290308491288.95,239270394543.29,219894827698.98,199000132929.58,161388415447.04,145920289137.58
000006.SZ,2302271041.85,1249959498.12,1488893110.58,892816326.98,829287912.0,508494432.33,4827628216.97,4457907007.57,2204471396.5,1795868921.81
000007.SZ,127846672.38,100144583.47,193908164.8,166459397.52,153301309.11,125908272.72,154225694.46,124964955.22,299846720.85,265912372.4
000008.SZ,1042818140.68,679545608.57,947116269.21,585539356.29,1308227162.47,862961463.89,1089637827.6,775609742.98,1136467839.1,827729733.86
000009.SZ,12166549241.53,8449854774.89,22479591306.31,17798253838.79,24508351268.84,19640059806.1,14635780070.1,10641103618.58,16812458333.93,12345165304.76
000011.SZ,3181490688.19,1084925841.75,3140295994.52,1571679030.25,2427326213.7,1747100763.88,1317806652.07,1051029215.22,1715772065.73,1286224770.15
000012.SZ,10246839119.0,6400847816.0,10803775346.0,7693520877.0,13479933172.0,10411924063.0,11836882741.0,9579246755.0,10424014383.0,8977402336.0
000014.SZ,24345466.65,16946097.11,370864513.01,237962254.93,1227441148.26,408234573.13,325122486.13,164434883.86,20858885.51,16378767.2
000017.SZ,83243710.49,74415444.07,149163326.31,138106342.56,348502645.41,330412351.09,279461877.0,260910746.04,577674163.42,521725143.81
000019.SZ,7554357635.4,6687592540.14,6365018079.81,5565672946.93,4479404058.88,3726332418.7,3802117769.62,3138519536.94,3918475506.66,3255736166.53
000020.SZ,603532726.46,525693924.66,517642945.8,457223464.54,601785032.07,528390525.2,606267906.59,533563290.0,682950220.46,599238313.82
000021.SZ,12267669423.97,11208395192.68,12012026889.69,10661279733.75,10971402550.2,9359307077.04,10851685615.18,9050149606.38,11277843807.83,9370566925.8
001872.SZ,11387276388.2,6548603891.39,12121802022.43,6972365667.76,11755307434.7,6791358487.08,12166341002.65,6724742007.36,12761718577.69,7025113831.96
000025.SZ,386190230.03,266472232.22,672218538.92,578961353.95,1220589534.36,1074776494.48,2067381333.76,1884098705.25,1166873659.48,962319749.53
000026.SZ,4084797744.03,2549686797.59,3385434370.84,2138260571.41,3527243623.07,2256476548.22,3039766900.13,1910085181.05,2674959897.13,1715179822.86
000027.SZ,20571694048.53,15383937302.49,26787664020.8,22068130096.13,29354269307.93,22168194902.89,30414502789.66,23712693216.44,32439749870.04,25007484985.95
000028.SZ,50210017018.57,44355137220.69,54616766496.72,48342859193.78,56585864462.43,50047171308.75,56466354478.37,50326326124.65,55124490690.34,49344552244.9
000029.SZ,966663823.58,487064303.36,526354062.13,366479949.44,354316805.85,289093965.63,208232198.0,167778707.67,898853082.45,654950924.98
000030.SZ,9351941347.3,8269768049.26,9253887891.54,8556600504.5,10978960204.94,9916555095.5,11509589500.67,10148256141.12,12142924440.15,10751970722.48
000031.SZ,22128783133.76,15195010291.89,24857978647.65,17935416695.42,20698292250.87,15062078059.28,20477048415.41,15485314870.9,20647692779.68,13302227833.55
000032.SZ,27925122403.29,25074030380.82,33141670479.36,29672887840.88,38671355991.88,34502803114.58,48421683221.42,44000232761.1,33018544969.16,30378084145.68
000034.SZ,86010595812.24,82890123446.06,84499058554.25,81153549638.17,84155059026.81,80842178550.2,91571184640.35,87457116667.49,102365346044.23,98732073189.64
000035.SZ,17315204592.31,14677801602.03,3866664820.83,3131832657.32,3754772943.07,2686922023.49,4269514199.62,2860313072.97,3942265178.09,2695916127.74
000036.SZ,825708509.92,304583812.37,502089315.11,247541553.08,414867532.2,219152818.72,332192571.53,188383825.87,324043380.99,159401495.76
000037.SZ,589152619.06,594719666.85,526047208.84,630962703.5,454106390.85,443453657.23,371008976.9,347115833.39,278932516.41,237145015.81
000039.SZ,118242302000.0,96846228000.0,109133089000.0,92175713000.0,95124111000.0,82101180000.0,128970687000.0,113701687000.0,117060844000.0,102747487000.0
000042.SZ,6002082033.11,4361329205.92,6060490579.99,3989182853.56,4347305070.97,2960349823.82,3862522827.46,2632517213.92,2047177975.97,1213307335.86
001914.SZ,7590930680.29,6619238141.63,9177021032.94,8084687642.34,10855909049.39,9481683455.49,12160076470.35,10785149712.15,13941662594.73,12331007885.92
000045.SZ,1672288457.42,1379262086.65,2122038324.26,1809191065.23,2317385312.76,1951681550.07,2522092622.22,2110543072.25,2465066139.24,2106711992.1
000048.SZ,2880266472.2,1297523465.37,2185780864.03,1965508472.72,9927819803.35,6024614720.25,4595020573.04,3242702782.37,3670284768.44,3029268173.96
000049.SZ,12622087641.27,11437098559.2,15511967223.23,13993044079.36,13879842201.53,12598335104.32,14956933287.69,13525062009.8,16103490012.54,14660895050.98
000050.SZ,23962168070.79,19668647003.38,24213007954.27,20898928901.97,24699671011.31,23365914098.15,24014022721.09,20808339471.68,26662703732.98,22271579511.88
000055.SZ,2440132035.71,1881981594.6,2616275080.38,2024938023.78,3216373064.13,2515865607.8,3206555034.28,2627832378.78,2559300222.38,2100436435.21
000058.SZ,1417504652.62,1093023680.53,1312587406.2,1139252432.11,1381458062.21,1048547609.95,1243637571.71,932432209.66,1217250722.03,919697159.9
000059.SZ,24872481010.06,19987444317.08,35537158439.14,28941781173.43,32970768148.07,28151770001.69,24500031616.35,22262530183.52,30290451600.3,26794358709.8
000060.SZ,32087700523.95,30115789113.76,46896513940.25,44570088080.43,52810940258.21,50297539594.14,45687727985.67,42995138141.4,48459291130.98,45819584980.55
000061.SZ,3098525798.18,2035351624.94,2871960364.96,2027382153.84,4051589600.12,2854225453.23,3730352474.27,2615729327.04,5197883938.6,4116440035.73
000062.SZ,16447907944.75,14540641836.43,18717630169.77,16740056605.15,14327660953.13,12911191670.49,16280214213.4,14937313682.56,17658030347.53,16188793243.98
000063.SZ,83825169000.0,52959990000.0,92559013000.0,57918023000.0,89393443000.0,50354035000.0,90044542000.0,53635944000.0,100519599000.0,69811475000.0
000065.SZ,7751663181.47,6758951995.91,9192669081.56,8004300221.22,14630104805.06,13149489862.39,14121636179.14,12469360654.89,9915075670.68,8503323194.66
000066.SZ,11870704100.84,9480746176.27,9491762820.44,7372210446.3,8053684683.32,6323259674.82,9605795089.25,8032362515.6,10295320410.86,8675966112.0
000068.SZ,574332833.89,492290840.15,851839779.3,768285266.29,607033584.67,597506423.75,537876969.36,523711352.68,517619667.86,478125757.26
000069.SZ,49444778538.4,34616287828.4,29281458540.15,23546219901.29,31760306179.26,24945945876.88,29329645520.58,25552678258.13,17024965478.44,15624904534.81
000070.SZ,3151769457.1,2748961225.92,2994208463.08,2566879073.45,3524322265.45,3060889954.25,3538939093.69,3039442741.07,3183522573.4,2577936401.09
000088.SZ,477199778.55,298820417.6,578610490.05,365052063.85,677634265.76,417413359.22,613151263.35,460306300.36,616142692.7,432454300.35
000089.SZ,2361215506.35,2159489432.28,2047416465.26,2769999697.87,3041871520.18,2720473049.72,3465307094.68,2736738645.09,3839498821.13,2943035752.24
000090.SZ,11696123482.41,8239897809.34,12887822553.31,9476766351.78,17633906691.42,14845976270.6,9239136891.75,7739884811.42,9959032050.29,8895085390.39
000096.SZ,1138818855.61,1019250863.95,1580955841.53,1444868168.93,1902845284.23,1764459002.54,1534844925.05,1402110161.12,1035042003.76,915782969.4
000099.SZ,1174893069.94,863945509.54,1304493345.22,1003556685.2,1408440318.37,1114747478.45,1497180609.0,1173974176.16,1632628946.24,1229736618.13
000100.SZ,120928535190.0,95426765891.0,126514861842.0,114950650732.0,133109034685.0,113643241301.0,123028497947.0,108286768520.0,135943426753.0,118592498986.0
000151.SZ,276937429.44,204617784.61,2192371478.04,1984299090.11,2250701813.02,2207562277.92,914906842.24,919007050.17,826211935.8,685964180.8
000153.SZ,2619574442.63,1811879569.1,2865476079.87,2066813682.67,3224068934.15,2376539605.19,3261422843.25,2525865523.95,3125145826.83,2578139649.75
