ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025,name
920271.BJ,20260518,12.05,1.4457,2.487,1.45,15.7517,18.0582,2.5235,4.1466,4.4474,1.5089,1.6598,13082.3,5789.0431,3365.1251,157641.715,69757.9694,298496000.01,64241244.54,0.0,0.0,,0.0,478664234.99,54818937.24,0.0,0.0,,0.0,534791423.24,47309249.39,0.0,0.0,,0.0,578122591.75,42196688.46,0.0,0.0,,0.0,711807598.56,96060946.45,0.0,0.0,,0.0,169968880.48,115958062.18,259302595.51,174590002.63,245121522.44,145446669.21,251316794.3,142503881.76,291305940.02,177473835.67,邦德股份
920061.BJ,20260518,25.63,4.2647,8.0338,0.62,409.0487,391.555,6.4701,18.8162,18.7945,0.554,0.554,7079.0,3936.44,2089.62,181434.77,100890.9572,123587868.87,35119457.53,0.0,0.0,,0.0,151854541.1,54048768.52,0.0,0.0,,0.0,207031940.09,57911866.6,0.0,0.0,,0.0,315198431.36,33556669.89,0.0,0.0,,0.0,305853180.6,28055648.3,0.0,0.0,,0.0,78274189.05,50203842.33,119272491.43,78738334.47,152169638.63,94679310.2,95375173.32,66534081.65,73738401.44,54016642.6,西磁科技
920346.BJ,20260518,19.8,1.3102,2.0791,0.84,32.9469,34.0097,3.2841,5.5403,5.5928,1.7177,1.7177,8065.3103,4460.3718,2810.9693,159693.1439,88315.3616,307065049.98,98594805.52,0.0,0.0,,0.0,475077225.03,56772995.8,0.0,0.0,,0.0,488047527.58,65533316.48,0.0,0.0,,0.0,502858071.4,65360070.72,0.0,0.0,,0.0,530547618.1,67050143.03,0.0,0.0,,0.0,169402402.56,113791376.42,147540556.73,107084727.56,173761498.65,121715683.8,187852855.32,130550741.29,204660782.17,143033655.36,威贸电子
920651.BJ,20260518,25.75,1.0218,2.7215,0.49,20.449,20.5599,2.8482,4.4603,4.4592,2.7184,2.7184,6100.0,4146.7373,1556.9363,157075.0,106778.4855,,,,,,,,,,,,,644929004.72,195232644.36,0.0,0.0,,0.0,674367026.81,209366950.84,0.0,0.0,,0.0,707606631.98,193794911.32,0.0,0.0,,0.0,,,,,189165483.06,87990595.28,183899713.21,92945835.05,212871969.53,106157981.77,天罡股份
920419.BJ,20260518,12.22,1.0225,1.8729,1.46,20.8801,23.2443,2.0176,1.4697,1.41,0.8183,0.8183,10330.64,9669.1274,5278.7709,126240.4208,118156.7368,389953952.66,88239419.0,0.0,0.0,,0.0,529015555.87,110601378.4,0.0,0.0,,0.0,587288411.91,118130225.66,0.0,0.0,,0.0,741078376.88,160912441.31,0.0,0.0,,0.0,821378001.96,157470769.9,0.0,0.0,,0.0,324019861.06,267853875.46,369757640.15,314327503.79,500929294.59,403647612.82,574826380.09,442896798.5,618589768.35,494123789.42,路斯股份
920496.BJ,20260518,8.61,1.7073,2.4581,0.74,129.6733,144.4638,2.5319,2.4295,2.4351,1.7422,1.7422,16557.5,14499.8432,10070.8995,142560.075,124843.65,,,,,,,,,,,,,735296748.77,331893406.71,0.0,0.0,,0.0,1017776053.75,454150282.29,0.0,0.0,,0.0,1089224398.85,491590031.49,0.0,0.0,,0.0,,,,,365168743.17,276955094.82,381305537.42,287439739.02,415348304.64,315879429.03,许昌智能
301531.SZ,20260518,111.0,54.2959,54.2959,0.86,196.3457,182.6765,16.8424,21.1275,19.641,,,21973.334,4688.3653,4688.3653,2439040.074,520408.5483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C春光集
920178.BJ,20260518,226.18,57.8197,62.2683,,114.1271,114.1271,15.9378,24.9532,24.9532,,,6593.8073,1460.9551,1356.5813,1491387.3351,330438.8245,,,,,,,,,,,,,,,,,,,,,,,,,803594015.88,273744039.71,0.0,0.0,,0.0,,,,,,,,,415697061.85,224444229.36,锐翔智能
920166.BJ,20260518,27.15,2.9368,3.2233,0.55,23.8212,23.7474,3.2791,5.9204,5.7558,,,7529.4118,2376.4707,2165.2207,204423.5304,64521.1795,,,,,,,,,,,,,,,,,,,,,,,,,555781727.19,85336479.61,0.0,0.0,,0.0,,,,,,,,,247713864.91,119785337.66,海圣医疗
000401.SZ,20260518,4.06,0.4272,1.1831,0.84,49.3469,110.8385,0.4112,0.4405,0.4571,2.4631,2.4631,265821.7235,263135.4635,95019.842,1079236.1974,1068329.9818,61150917173.74,27393381049.85,0.0,0.0,314461729.47,0.0,62032595876.28,29090816779.37,0.0,0.0,376528664.41,0.0,62770770855.07,30924621290.73,0.0,0.0,384653251.92,0.0,60436928480.79,30322344144.93,0.0,0.0,399494636.88,0.0,58658247865.25,29088671243.72,0.0,0.0,583290138.3,0.0,26203722464.9,18964128717.92,27351153779.45,21449915394.59,22344405281.55,19102791190.58,18557200512.65,15193263184.54,18575066588.09,14662550870.56,金隅冀东
920181.BJ,20260518,132.8,25.5045,25.5045,0.81,65.135,62.6704,7.4747,9.5613,9.3974,,,4320.0,1002.0,1002.0,573696.0,133065.6,,,,,,,,,,,,,,,,,,,,,,,,,517619101.69,68131836.39,0.0,0.0,,0.0,,,,,,,,,438331965.67,320174912.3,赛英电子
001393.SZ,20260518,95.26,50.6367,50.6367,,78.8625,80.3579,6.5722,7.5975,7.4449,,,24933.3334,4804.0181,4804.0181,2375149.3397,457630.7642,,,,,,,,,,,,,,,,,,,,,,,,,3001939400.0,1256836500.0,0.0,0.0,,0.0,,,,,,,,,2211978400.0,,N维通利
301638.SZ,20260518,29.72,12.5721,12.5721,0.71,150.0464,135.6274,8.4215,13.0934,12.3321,,,317965.023,25023.4005,25023.4005,9449920.4836,743695.4629,1361544800.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,12370677904.5,4337081027.81,0.0,0.0,,0.0,,,,,,,,,2779242749.78,1840780994.53,南网数字
301632.SZ,20260518,20.05,2.7792,2.7792,1.03,72.212,62.7316,3.0286,6.7092,6.8821,,,41856.0,7326.2,7326.2,839212.8,146890.31,,,,,,,2340611320.95,535925995.77,0.0,0.0,,0.0,2381717728.16,515089360.99,0.0,0.0,,0.0,,,,,,,3403158414.12,715915220.28,0.0,0.0,,0.0,,,814869819.57,518416384.59,461781984.23,247930281.11,,,723845105.65,408571836.8,广东建科
603352.SH,20260518,34.86,3.0411,3.0411,0.8,34.7387,38.5312,2.6729,1.9496,2.0036,,,22666.6667,4442.2372,4442.2372,790160.0012,154856.3888,,,,,,,,,,,,,,,,,,,,,,,,,5049992980.01,3304412154.22,0.0,0.0,,0.0,,,,,,,,,2696646355.65,2132537071.07,至信股份
