ts_code,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025
000001.SZ,4853074000000.0,4464216000000.0,0.0,0.0,7568000000.0,0.0,5195133000000.0,4769749000000.0,0.0,0.0,7568000000.0,0.0,5516388000000.0,5050528000000.0,0.0,0.0,7568000000.0,0.0,5745988000000.0,5255519000000.0,0.0,0.0,7568000000.0,0.0,5766764000000.0,5248834000000.0,0.0,0.0,7568000000.0,0.0
000002.SZ,1967403013063.62,1592472568518.44,0.0,0.0,1423920327.52,0.0,1832624105913.53,1426655627128.92,0.0,0.0,5395504311.22,0.0,1646701739373.12,1239574345996.9,0.0,0.0,5414067003.19,0.0,1357179783436.2,982821341733.23,0.0,0.0,5529130718.71,0.0,1136594565755.29,835564493176.11,0.0,0.0,5708536321.66,0.0
000006.SZ,19816739639.24,11646658927.08,0.0,0.0,,0.0,26319762216.71,18083096567.33,0.0,0.0,,0.0,28261235739.77,19922282191.35,0.0,0.0,,0.0,20889216727.6,14079430886.84,0.0,0.0,,0.0,17269311415.81,11090000819.69,0.0,0.0,,0.0
000007.SZ,428618242.3,354875266.25,0.0,0.0,,0.0,432159907.99,329725379.86,0.0,0.0,,0.0,366988114.09,256695407.23,0.0,0.0,,0.0,332221133.29,192558493.84,0.0,0.0,408421.21,0.0,370543176.5,173464010.78,0.0,0.0,7405978.23,0.0
000008.SZ,13177297356.91,6607598551.91,0.0,0.0,3024313257.1,0.0,11932091992.2,6762388644.45,0.0,0.0,2939635859.67,0.0,11086858985.23,6755172737.25,0.0,0.0,2661532584.3,0.0,10419734119.71,6961474322.64,0.0,0.0,2383080861.76,0.0,9110247697.14,6090827881.12,0.0,0.0,2244879775.77,0.0
000009.SZ,34365441991.24,19137249580.62,0.0,0.0,468672163.91,0.0,49596205059.71,31574038909.36,0.0,0.0,470527732.24,0.0,50278681050.2,29962565922.47,0.0,0.0,460089786.33,0.0,52542673678.33,31018744792.85,0.0,0.0,479391587.87,0.0,56579430334.81,33714219247.08,0.0,0.0,450688631.93,0.0
000011.SZ,13943431527.25,9632476385.89,0.0,0.0,7955840.29,0.0,14989808984.1,10611613721.95,0.0,0.0,9446847.38,0.0,15583445761.13,11103154858.81,0.0,0.0,9446847.38,0.0,16116648356.93,11605867343.0,0.0,0.0,9446847.38,0.0,15304195742.46,12048097355.29,0.0,0.0,9446847.38,0.0
000012.SZ,19427394585.0,7580240120.0,0.0,0.0,233375693.0,0.0,24859980649.0,11862330486.0,0.0,0.0,130147859.0,0.0,28880915246.0,14432102020.0,0.0,0.0,8593352.0,0.0,31909612693.0,17366352217.0,0.0,0.0,8593352.0,0.0,31269652989.0,17564570233.0,0.0,0.0,8593352.0,0.0
000014.SZ,2709127655.53,1795698187.79,0.0,0.0,,0.0,2727303619.34,1559360455.4,0.0,0.0,,0.0,2643890140.14,960145994.73,0.0,0.0,,0.0,2236341799.71,531139323.34,0.0,0.0,,0.0,2318474541.63,675562683.12,0.0,0.0,,0.0
000017.SZ,95740667.64,67895717.28,0.0,0.0,,0.0,101750042.82,75564065.1,0.0,0.0,,0.0,360582593.97,75154531.62,0.0,0.0,,0.0,372362775.22,46268555.82,0.0,0.0,,0.0,466516810.72,82464884.62,0.0,0.0,,0.0
000019.SZ,7780751320.3,3242179512.83,0.0,0.0,,0.0,7731119339.71,2999425361.35,0.0,0.0,1953790.56,0.0,7690043882.39,2871032905.01,0.0,0.0,1953790.56,0.0,7220814702.57,2377644540.02,0.0,0.0,,0.0,7011856578.62,2021139400.04,0.0,0.0,,0.0
000020.SZ,670460370.67,325024215.73,0.0,0.0,,0.0,613640331.12,261664945.36,0.0,0.0,,0.0,609760836.25,243738035.18,0.0,0.0,,0.0,658940851.51,277777083.5,0.0,0.0,,0.0,753231361.36,328305422.0,0.0,0.0,,0.0
